,BONEID,ELEMENT,MEASURE,MEASTYPE,PERIOD,RANGE
16,ABMAP11862,Calcaneum,46.6,GB,Roman - Saxon,43 -- 410
130,ABMAP3088,Calcaneum,47.6,GB,Roman - Saxon,800 -- 999
150,ABMAP3118,Calcaneum,55.8,GB,Roman - Saxon,43 -- 410
182,ABMAP78,Calcaneum,53.0,GB,Roman - Saxon,775 -- 800
198,ABMAP77,Calcaneum,55.0,GB,Roman - Saxon,840 -- 860
205,ABMAP76,Calcaneum,55.4,GB,Roman - Saxon,775 -- 800
237,ABMAP17116,Calcaneum,46.0,GB,Bronze - Iron Age,-99 -- 99
285,ABMAP25999,Calcaneum,53.6,GB,Roman - Saxon,700 -- 732
286,ABMAP26000,Calcaneum,54.5,GB,Roman - Saxon,700 -- 732
458,ABMAP25550,Calcaneum,52.8,GB,Roman - Saxon,833 -- 932
510,ABMAP26512,Calcaneum,52.8,GB,Roman - Saxon,833 -- 932
659,ABMAP2989,Calcaneum,45.0,GB,Medieval,1200 -- 1399
661,ABMAP2990,Calcaneum,40.2,GB,Medieval,1200 -- 1399
1342,ABMAP17501,Calcaneum,56.9,GB,Medieval,1600 -- 1799
1365,ABMAP17661,Calcaneum,55.5,GB,Medieval,1600 -- 1799
1689,ABMAP13140,Calcaneum,50.6,GB,Roman - Saxon,650 -- 850
1698,ABMAP28115,Calcaneum,48.3,GB,Roman - Saxon,800 -- 1066
1791,ABMAP27613,Calcaneum,54.2,GB,Roman - Saxon,950 -- 980
1807,ABMAP26982,Calcaneum,45.4,GB,Roman - Saxon,900 -- 1099
1825,ABMAP26965,Calcaneum,51.0,GB,Medieval,1100 -- 1399
1978,ABMAP9039,Calcaneum,52.0,GB,Bronze - Iron Age,-299 -- -100
1995,ABMAP8941,Calcaneum,48.5,GB,Bronze - Iron Age,-299 -- -100
2079,J_GRIMM_08WA58571-228,Calcaneum,34.0,GB,Roman - Saxon,43 -- 410
2344,J_GRIMM_08WA63220-5347,Calcaneum,45.0,GB,Roman - Saxon,850 -- 1066
